model_name,year,can_be_branded,car_cnt,car_sticker_cnt,trips_success_cnt,trips_cancel_cnt,trips_defect_cnt,trips_rated_cnt,bad_car_model_tag_cnt,dissapointed_car_model_tag_cnt
model_207,year_20,0,1,0,12,3,0,5,0,0
model_482,year_19,0,1,0,12,4,0,4,0,0
model_499,year_7,0,1,0,46,1,0,14,0,0
model_499,year_8,0,3,0,1592,198,10,510,5,1
model_499,year_9,0,2,0,49,8,0,14,0,0
model_499,year_22,0,1,0,1384,145,13,460,4,1
model_275,year_5,0,1,0,1,0,0,0,0,0
model_275,year_6,0,1,0,1,0,0,1,0,0
model_275,year_7,0,2,0,261,14,3,85,0,0
model_275,year_9,0,5,0,153,20,2,40,0,1
model_275,year_10,0,2,0,438,48,9,137,2,3
model_134,year_25,0,1,0,442,26,0,138,0,0
model_134,year_30,1,1,0,12,0,0,6,0,0
model_134,year_31,0,1,0,796,61,3,287,1,0
model_132,year_12,0,3,0,240,32,2,78,0,0
model_132,year_13,0,2,0,164,11,0,57,0,0
model_132,year_14,0,5,0,182,20,0,65,1,0
model_132,year_15,0,2,0,51,5,2,27,0,0
model_132,year_16,0,5,0,412,32,2,121,1,0
model_132,year_17,1,3,0,639,161,9,232,1,0
model_132,year_18,0,2,0,172,15,2,59,1,0
model_132,year_20,0,2,0,160,11,1,54,0,0
model_132,year_21,0,4,0,1047,145,8,311,2,0
model_132,year_22,0,4,0,149,30,0,59,0,0
model_132,year_23,0,4,0,986,130,3,323,1,0
model_132,year_24,0,2,0,185,14,1,58,0,0
model_132,year_25,0,2,0,9,0,1,3,0,0
model_132,year_26,1,2,0,164,14,1,62,0,0
model_108,year_9,0,1,0,5,1,0,3,0,0
model_108,year_11,0,4,0,377,40,7,140,0,1
model_108,year_12,0,1,0,295,37,7,97,0,0
model_108,year_13,0,1,0,519,47,0,174,0,0
model_108,year_14,0,2,0,108,12,2,44,0,0
model_108,year_15,0,2,0,150,33,0,45,2,0
model_108,year_16,0,4,0,212,27,1,75,0,0
model_108,year_17,1,5,1,1160,150,12,337,2,0
model_108,year_18,0,3,0,581,67,4,176,1,0
model_108,year_19,0,1,0,18,1,1,6,0,0
model_108,year_21,0,1,0,5,0,0,0,0,0
model_108,year_22,0,3,0,1729,122,2,541,0,0
model_108,year_25,0,1,0,57,3,2,15,0,0
model_108,year_28,0,1,0,72,24,4,18,0,0
model_150,year_14,0,1,0,38,5,0,12,0,0
model_208,year_26,1,1,0,55,2,1,23,0,0
model_93,year_25,0,1,0,5,0,0,4,0,0
model_327,year_37,1,1,0,493,47,7,162,0,0
model_536,year_24,0,1,0,511,99,3,181,0,0
model_536,year_26,1,1,0,65,3,0,23,0,0
model_536,year_28,1,1,0,40,9,1,18,0,0
model_321,year_28,1,1,0,9,2,0,4,0,0
model_367,year_10,0,1,0,155,10,2,41,0,0
model_367,year_15,0,2,0,1582,333,7,482,3,0
model_367,year_16,0,1,0,7,0,0,2,0,0
model_367,year_17,0,2,0,98,6,0,29,1,0
model_367,year_18,1,2,0,196,28,0,60,0,0
model_367,year_19,0,2,0,222,18,1,73,0,1
model_367,year_21,0,2,0,95,10,3,32,0,0
model_367,year_22,0,1,0,16,3,0,2,1,0
model_367,year_23,0,1,0,2,2,0,2,0,0
model_367,year_36,1,1,0,2,0,0,0,0,0
model_347,year_9,0,1,0,10,1,0,4,0,0
model_347,year_14,0,3,0,37,5,0,15,0,0
model_347,year_15,0,2,0,1934,168,4,561,3,0
model_347,year_16,0,2,0,67,10,0,22,0,0
model_347,year_17,0,3,0,441,57,1,134,0,0
model_347,year_18,0,1,0,13,1,0,8,0,0
model_347,year_19,0,1,0,10,1,1,3,0,0
model_178,year_18,0,1,0,9,2,0,5,0,0
model_178,year_21,0,1,0,182,42,1,56,0,0
model_389,year_9,0,1,0,10,2,0,1,0,0
model_230,year_28,1,1,0,14,0,0,7,0,0
