partner_name,model_name,year,car_cnt,car_sticker_cnt
partner_6613,model_147,year_30,1,0
partner_7944,model_615,year_26,1,1
partner_7944,model_576,year_29,1,1
partner_7944,model_576,year_30,1,0
partner_7944,model_362,year_23,1,0
partner_7944,model_554,year_23,2,1
partner_7944,model_554,year_24,2,0
partner_7944,model_554,year_25,2,1
partner_7944,model_416,year_28,2,0
partner_7944,model_416,year_30,1,1
partner_7944,model_416,year_31,3,0
partner_7944,model_416,year_32,2,0
partner_7944,model_381,year_28,1,1
partner_7944,model_494,year_33,2,2
partner_7944,model_494,year_34,1,0
partner_7944,model_494,year_36,1,0
partner_7944,model_20,year_24,1,1
partner_7944,model_62,year_26,1,0
partner_7944,model_62,year_28,1,1
partner_7944,model_364,year_25,1,0
partner_7944,model_399,year_29,6,0
partner_7944,model_399,year_30,1,0
partner_7944,model_589,year_29,5,2
partner_7944,model_589,year_30,14,6
partner_7944,model_589,year_31,8,3
partner_7944,model_589,year_32,9,3
partner_7944,model_589,year_33,3,3
partner_7944,model_589,year_34,3,1
partner_7944,model_589,year_35,2,2
partner_7944,model_589,year_36,3,0
partner_7944,model_410,year_26,2,1
partner_7944,model_410,year_27,3,2
partner_7944,model_410,year_28,5,3
partner_7944,model_410,year_29,2,1
partner_7944,model_410,year_31,3,2
partner_7944,model_410,year_32,1,1
partner_7944,model_35,year_33,1,0
partner_7944,model_398,year_25,7,3
partner_7944,model_398,year_26,5,2
partner_7944,model_398,year_27,11,5
partner_7944,model_398,year_28,11,4
partner_7944,model_398,year_29,10,5
partner_7944,model_398,year_30,5,3
partner_7944,model_398,year_31,2,1
partner_7944,model_398,year_32,6,3
partner_7944,model_398,year_33,1,0
partner_7944,model_319,year_33,4,2
partner_7944,model_319,year_34,1,0
partner_7944,model_319,year_35,2,1
partner_7944,model_571,year_18,1,0
partner_7944,model_549,year_25,1,0
partner_7944,model_297,year_25,1,1
partner_7944,model_297,year_28,1,0
partner_7944,model_256,year_29,1,0
partner_7944,model_7,year_30,1,0
partner_7944,model_7,year_32,1,0
partner_7944,model_7,year_34,1,1
partner_4584,model_370,year_25,1,0
partner_4847,model_589,year_31,1,0
partner_7741,model_319,year_35,1,0
partner_5438,model_218,year_19,1,1
partner_133,model_7,year_29,1,1
partner_7657,model_196,year_30,1,1
partner_7657,model_361,year_25,1,0
partner_7657,model_407,year_30,1,0
partner_7657,model_576,year_23,1,0
partner_7657,model_576,year_25,2,0
partner_7657,model_362,year_27,1,0
partner_7657,model_56,year_22,1,0
partner_7657,model_416,year_0,1,0
partner_7657,model_494,year_23,1,1
partner_7657,model_589,year_30,2,0
partner_7657,model_589,year_31,2,0
partner_7657,model_589,year_32,2,0
partner_7657,model_589,year_35,1,0
partner_7657,model_410,year_30,2,1
partner_7657,model_35,year_35,1,1
partner_7657,model_398,year_26,1,0
partner_7657,model_398,year_29,1,0
partner_7657,model_346,year_31,1,1
partner_7657,model_549,year_28,4,2
partner_7657,model_549,year_29,1,0
partner_7657,model_549,year_30,1,1
partner_8081,model_488,year_23,1,0
partner_7376,model_361,year_29,1,0
partner_7376,model_410,year_29,1,0
partner_7376,model_398,year_31,1,0
partner_7376,model_82,year_36,1,0
partner_7376,model_393,year_18,1,0
partner_7376,model_448,year_37,1,0
partner_5040,model_416,year_0,1,0
partner_1376,model_384,year_36,1,0
partner_8993,model_129,year_19,1,0
partner_1710,model_576,year_28,1,0
partner_1710,model_549,year_29,1,1
partner_4164,model_384,year_35,6,1
partner_3773,model_71,year_25,1,0
partner_2619,model_165,year_25,1,0
partner_3906,model_364,year_24,1,0
partner_3906,model_110,year_22,1,0
partner_3906,model_145,year_24,1,0
partner_3906,model_330,year_24,1,0
partner_3626,model_610,year_32,1,0
partner_5726,model_576,year_25,1,0
partner_5726,model_416,year_32,1,0
partner_4343,model_494,year_31,1,0
partner_4343,model_549,year_30,1,0
partner_679,model_7,year_29,1,1
partner_6940,model_549,year_25,1,0
partner_5300,model_615,year_25,1,1
partner_4082,model_172,year_18,1,0
partner_4082,model_42,year_29,1,1
partner_4082,model_42,year_30,1,1
partner_4082,model_334,year_24,2,1
partner_4082,model_334,year_25,3,0
partner_2156,model_113,year_18,1,0
partner_3222,model_436,year_30,1,0
partner_3222,model_416,year_31,1,0
partner_3222,model_165,year_24,1,0
partner_3222,model_319,year_36,1,0
partner_3222,model_256,year_20,1,0
partner_8723,model_380,year_25,1,0
partner_3313,model_398,year_30,1,0
partner_8771,model_600,year_30,1,0
partner_6088,model_147,year_22,1,0
partner_788,model_334,year_29,1,0
partner_6841,model_146,year_30,1,0
partner_6841,model_516,year_11,1,0
partner_6841,model_403,year_20,1,0
partner_1347,model_589,year_36,1,1
partner_8024,model_191,year_25,1,0
partner_1669,model_380,year_17,1,0
partner_2463,model_380,year_25,1,0
partner_2463,model_439,year_28,1,0
partner_7289,model_589,year_34,1,1
partner_3489,model_366,year_13,1,0
partner_3203,model_494,year_34,1,1
partner_770,model_589,year_35,1,0
partner_3204,model_311,year_26,1,0
partner_6643,model_7,year_36,1,0
partner_8706,model_78,year_23,1,0
partner_6342,model_416,year_0,1,0
partner_8362,model_256,year_31,1,1
partner_4246,model_436,year_26,1,0
partner_6789,model_148,year_26,1,0
partner_7874,model_384,year_34,1,0
partner_7874,model_368,year_23,1,0
partner_7874,model_293,year_15,1,0
partner_7874,model_66,year_20,1,0
partner_7874,model_159,year_17,1,0
partner_7874,model_334,year_23,1,0
partner_7874,model_334,year_25,1,0
partner_7874,model_334,year_26,1,1
partner_7874,model_334,year_27,1,0
partner_7874,model_334,year_28,2,0
partner_7874,model_161,year_26,1,0
partner_631,model_549,year_29,1,0
partner_2055,model_615,year_28,1,0
partner_2055,model_399,year_22,1,0
partner_2055,model_410,year_28,1,0
partner_2055,model_319,year_34,1,0
partner_8075,model_364,year_23,1,0
partner_8075,model_410,year_35,1,0
partner_8075,model_398,year_27,1,0
partner_8075,model_380,year_20,1,0
partner_8075,model_201,year_29,1,0
partner_8610,model_319,year_36,1,0
partner_5133,model_7,year_30,1,0
partner_5164,model_416,year_37,1,1
partner_5146,model_494,year_31,1,0
partner_5146,model_398,year_29,1,0
partner_5146,model_82,year_33,1,0
partner_5146,model_549,year_28,1,0
partner_5146,model_549,year_29,1,0
partner_5146,model_549,year_31,1,1
partner_5146,model_164,year_15,1,0
partner_5146,model_516,year_14,1,1
partner_5146,model_7,year_35,1,0
partner_6114,model_62,year_29,1,0
partner_6114,model_399,year_25,1,0
partner_6114,model_589,year_30,1,0
partner_6114,model_398,year_24,1,0
partner_6114,model_147,year_31,1,0
partner_6114,model_549,year_29,1,0
partner_5695,model_416,year_28,1,0
partner_1156,model_410,year_31,1,0
partner_2797,model_494,year_30,1,0
partner_6558,model_362,year_25,1,0
partner_855,model_494,year_36,1,0
partner_6432,model_384,year_36,1,0
partner_6432,model_300,year_28,1,0
partner_6432,model_494,year_33,1,0
partner_6432,model_117,year_31,1,0
partner_5069,model_202,year_31,1,0
partner_5069,model_576,year_33,2,1
partner_5069,model_342,year_30,1,0
partner_5069,model_416,year_28,2,0
partner_5069,model_416,year_30,1,0
partner_5069,model_381,year_28,1,0
partner_5069,model_65,year_31,1,0
partner_5069,model_494,year_30,1,0
partner_5069,model_147,year_32,1,0
partner_5069,model_240,year_28,1,0
partner_5069,model_549,year_28,1,1
partner_5069,model_549,year_29,1,0
partner_5069,model_549,year_30,1,0
partner_5069,model_549,year_31,1,0
partner_5069,model_549,year_35,2,1
partner_5069,model_549,year_36,1,0
partner_5069,model_7,year_30,1,0
partner_8752,model_89,year_29,1,1
partner_8752,model_416,year_28,1,0
partner_1577,model_384,year_33,1,0
partner_3300,model_256,year_18,1,0
partner_4763,model_45,year_20,1,0
partner_3117,model_380,year_24,1,0
partner_5853,model_381,year_31,1,0
partner_6690,model_56,year_24,1,0
partner_3409,model_576,year_25,1,0
partner_3409,model_362,year_23,1,0
partner_3409,model_62,year_23,1,0
partner_135,model_361,year_27,1,0
partner_135,model_82,year_33,1,0
partner_135,model_147,year_35,1,0
partner_8447,model_27,year_25,1,0
partner_8602,model_576,year_27,1,1
partner_452,model_336,year_25,1,0
partner_7858,model_589,year_35,1,1
partner_1780,model_256,year_24,1,1
partner_8160,model_374,year_18,1,0
partner_1335,model_576,year_25,1,0
partner_1335,model_416,year_0,2,0
partner_1335,model_540,year_14,1,0
partner_1335,model_589,year_35,1,1
partner_1335,model_410,year_24,1,0
partner_1177,model_589,year_36,1,1
partner_7192,model_398,year_34,1,0
partner_2346,model_416,year_35,1,0
partner_5154,model_589,year_37,1,0
partner_5154,model_549,year_31,1,0
partner_662,model_384,year_36,1,0
partner_3963,model_549,year_26,1,0
partner_3566,model_544,year_28,1,0
partner_2901,model_487,year_29,1,0
partner_2395,model_416,year_37,1,0
partner_4032,model_576,year_27,1,0
partner_4032,model_554,year_22,1,0
partner_4032,model_416,year_0,1,0
partner_4032,model_416,year_30,1,0
partner_4032,model_410,year_29,1,0
partner_4032,model_398,year_28,1,0
partner_4032,model_81,year_18,1,0
partner_4032,model_354,year_33,1,0
partner_4032,model_549,year_28,1,0
partner_4032,model_439,year_30,1,0
partner_8043,model_487,year_30,1,0
partner_7646,model_589,year_32,1,1
partner_7508,model_433,year_28,1,0
partner_154,model_384,year_31,1,1
partner_154,model_416,year_33,1,0
partner_629,model_416,year_30,1,0
partner_629,model_589,year_31,1,0
partner_629,model_380,year_25,1,0
partner_629,model_519,year_25,1,0
partner_5165,model_589,year_32,1,0
partner_5165,model_35,year_37,1,0
partner_223,model_589,year_37,1,1
partner_2941,model_384,year_35,1,0
partner_2941,model_576,year_22,1,0
partner_2941,model_494,year_31,1,1
partner_2941,model_494,year_32,1,0
partner_2941,model_462,year_25,1,0
partner_2941,model_410,year_28,1,0
partner_2941,model_35,year_31,1,0
partner_2941,model_35,year_35,1,0
partner_2941,model_319,year_34,1,0
partner_2941,model_528,year_30,1,0
partner_2941,model_260,year_23,1,0
partner_2941,model_1,year_23,1,0
partner_2941,model_440,year_24,1,0
partner_2941,model_240,year_25,1,0
partner_2941,model_354,year_32,1,0
partner_2941,model_549,year_23,1,0
partner_2941,model_549,year_28,2,0
partner_2941,model_530,year_11,1,0
partner_4121,model_381,year_25,1,0
partner_4121,model_494,year_34,1,1
partner_4121,model_589,year_33,1,1
partner_4121,model_334,year_25,1,0
partner_5193,model_433,year_34,1,0
partner_5193,model_589,year_34,1,0
partner_5193,model_21,year_19,1,0
partner_5193,model_322,year_20,1,0
partner_7803,model_600,year_29,1,0
partner_896,model_74,year_25,1,0
partner_8662,model_576,year_25,1,0
partner_3806,model_589,year_35,1,0
partner_4509,model_404,year_17,1,0
partner_8141,model_398,year_27,1,0
partner_8534,model_319,year_35,1,0
partner_4282,model_416,year_0,1,0
partner_4282,model_589,year_32,1,0
partner_4282,model_589,year_33,1,0
partner_4282,model_530,year_16,1,0
partner_5417,model_132,year_20,1,0
partner_5417,model_108,year_14,1,0
partner_5417,model_108,year_16,1,0
partner_5417,model_525,year_35,1,0
partner_5417,model_202,year_31,2,0
partner_5417,model_384,year_36,1,0
partner_5417,model_565,year_25,1,0
partner_5417,model_576,year_23,1,0
partner_5417,model_362,year_23,1,0
partner_5417,model_271,year_34,1,0
partner_5417,model_416,year_29,1,0
partner_5417,model_416,year_30,1,0
partner_5417,model_416,year_36,1,0
partner_5417,model_250,year_28,1,0
partner_5417,model_494,year_28,1,0
partner_5417,model_494,year_30,1,0
partner_5417,model_494,year_32,2,0
partner_5417,model_589,year_31,1,1
partner_5417,model_589,year_37,1,0
partner_5417,model_35,year_35,1,0
partner_5417,model_82,year_34,1,0
partner_5417,model_148,year_23,1,0
partner_5417,model_392,year_24,1,0
partner_5417,model_392,year_25,1,0
